Source: I.M. Tso, C.W. Lin & E.C. Yang. 2004. Colourful orb-weaving spiders, Nephila pilipes, through a bees eyes. The Journal of Experimental Biology. 207: 2631-2637.
Unit: Wavelength (micro-m), Reflectance (percentage)
>>>>>Begin Processed Spectral Data<<<
300	7.1
300.1	7.14
300.2	7.19
300.3	7.22
300.4	7.24
300.5	7.26
300.6	7.28
300.7	7.28
300.8	7.26
300.9	7.24
301	7.21
301.1	7.2
301.2	7.18
301.3	7.15
301.4	7.13
301.5	7.13
301.6	7.15
301.7	7.17
301.8	7.18
301.9	7.21
302	7.26
302.1	7.3
302.2	7.3
302.3	7.24
302.4	7.18
302.5	7.13
302.6	7.11
302.7	7.1
302.8	7.08
302.9	7.08
303	7.12
303.1	7.18
303.2	7.23
303.3	7.24
303.4	7.2
303.5	7.15
303.6	7.12
303.7	7.11
303.8	7.11
303.9	7.12
304	7.12
304.1	7.14
304.2	7.16
304.3	7.18
304.4	7.18
304.5	7.15
304.6	7.1
304.7	7.07
304.8	7.07
304.9	7.11
305	7.15
305.1	7.17
305.2	7.15
305.3	7.11
305.4	7.07
305.5	7.05
305.6	7.06
305.7	7.08
305.8	7.09
305.9	7.09
306	7.1
306.1	7.1
306.2	7.1
306.3	7.11
306.4	7.13
306.5	7.16
306.6	7.17
306.7	7.2
306.8	7.24
306.9	7.27
307	7.27
307.1	7.25
307.2	7.22
307.3	7.2
307.4	7.19
307.5	7.19
307.6	7.19
307.7	7.18
307.8	7.18
307.9	7.17
308	7.16
308.1	7.16
308.2	7.16
308.3	7.15
308.4	7.15
308.5	7.15
308.6	7.14
308.7	7.13
308.8	7.13
308.9	7.14
309	7.14
309.1	7.15
309.2	7.15
309.3	7.15
309.4	7.15
309.5	7.15
309.6	7.15
309.7	7.15
309.8	7.14
309.9	7.14
310	7.12
310.1	7.09
310.2	7.06
310.3	7.05
310.4	7.04
310.5	7.04
310.6	7.04
310.7	7.07
310.8	7.13
310.9	7.19
311	7.22
311.1	7.22
311.2	7.19
311.3	7.17
311.4	7.16
311.5	7.17
311.6	7.19
311.7	7.2
311.8	7.2
311.9	7.2
312	7.19
312.1	7.19
312.2	7.18
312.3	7.15
312.4	7.12
312.5	7.11
312.6	7.12
312.7	7.12
312.8	7.12
312.9	7.12
313	7.11
313.1	7.1
313.2	7.09
313.3	7.09
313.4	7.08
313.5	7.07
313.6	7.07
313.7	7.07
313.8	7.08
313.9	7.09
314	7.09
314.1	7.09
314.2	7.09
314.3	7.1
314.4	7.1
314.5	7.12
314.6	7.13
314.7	7.13
314.8	7.11
314.9	7.08
315	7.05
315.1	7.04
315.2	7.05
315.3	7.07
315.4	7.08
315.5	7.09
315.6	7.1
315.7	7.1
315.8	7.1
315.9	7.09
316	7.07
316.1	7.05
316.2	7.05
316.3	7.08
316.4	7.12
316.5	7.15
316.6	7.15
316.7	7.13
316.8	7.1
316.9	7.09
317	7.08
317.1	7.07
317.2	7.07
317.3	7.07
317.4	7.07
317.5	7.08
317.6	7.09
317.7	7.09
317.8	7.09
317.9	7.09
318	7.09
318.1	7.12
318.2	7.16
318.3	7.19
318.4	7.19
318.5	7.15
318.6	7.1
318.7	7.06
318.8	7.07
318.9	7.11
319	7.15
319.1	7.17
319.2	7.18
319.3	7.18
319.4	7.18
319.5	7.18
319.6	7.15
319.7	7.1
319.8	7.07
319.9	7.07
320	7.08
320.1	7.09
320.2	7.1
320.3	7.12
320.4	7.16
320.5	7.19
320.6	7.19
320.7	7.16
320.8	7.11
320.9	7.08
321	7.08
321.1	7.11
321.2	7.15
321.3	7.17
